id_partida,fecha,equipo_1,equipo_2,puntuacion_1,puntuacion_2,mapa,torneo,duracion_minutos
Match-00203,12/06/2025,Omega Team,Iron baers,2.0,6.0,Vértigo,Cyberleague Season Primera,28.0
Match-00241,"noviembre 23, 2026",Zenith,Blaze Team,5.0,15.0,Miraje,Cyber league Primera,33.0
Match-00323,26 de noviembre de 2025,Neon Strikers,Phoenix Rising,10.0,6.0,Miraje,Masters series,39.0
Match-00129,10/1/25,Crystal Gaming,Dark Wolves,8.0,1.0,Overpass,Cyberleague Segunda,0.0
Match-00398,25/03/2025,Neon Strikers,Cyberd Dragons,15.0,10.0,Ascent,Grand finals,60.0
Match-00288,17/07/2025,Vortex Club,Storm Gaming,1.0,11.0,Overpass,Gran final,36.0
Match-00023,"noviembre 11, 2025",Storm Gaming,Dark Wolves,0.0,15.0,Vértigo,Masters series,38.0
Match-00340,6-nov-2026,Quantum Five,Eclipse,3.0,12.0,Haven,Masters series,64.0
Match-00211,15 de diciembre de 2025,Arctic Foxes,Quantum Five,3.0,15.0,Mirage,Open,22.0
Match-00079,18 de julio de 2026,Omega Team,Vortex Club,15.0,5.0,Bind,Cyberleague temporada Segunda,43.0
Match-00294,07/05/2025,Blaze Team,Eclipse,15.0,0.0,Dust Segunda,Copa nacional,999.0
Match-00330,11-abr-2025,Byte Force,Raptors GG,10.0,8.0,Dust_2,Qualifier,39.0
Match-00353,6 de febrero de 2026,Dark Wolves,Shadow Legion,6.0,7.0,Nuke,Cyberleague Segunda,52.0
Match-00102,"junio 7, 2026",Quantum Five,Stomr Gaming,13.0,12.0,Dust2,Open Qualifier,35.0
Match-00252,6 de febrero de 2025,Arctic Foxes,Omgea Team,16.0,4.0,Vértigo,Cyberleague Primera,74.0
Match-00221,08/09/2025,Shado Legion,Neon Strikers,16.0,3.0,Nuke,Cyberleague Segunda,
Match-00052,7/10/25,Omega Team,Quantum Five,9.0,14.0,Ancient,Grand finals,
Match-00402,21/9/25,Dark Wolves,Omega Team,8.0,5.0,Inferno,Gran final,44.0
Match-00351,11-dic-2025,Dark Wolves,Vortex Club,8.0,10.0,Vértigo,Masters series,0.0
Match-00206,21 de septiembre de 2025,Cyberd Dragons,Crystal gamnig,9.0,13.0,Mirage,Cyberleague Segunda,63.0
Match-00096,14 de junio de 2026,Zenith,Cyber Dragons,12.0,2.0,Mirage,Grand final,25.0
Match-00180,5/10/26,Titan Esports,Neon Strikers,5.0,3.0,Inferno,Cyberleague Primera,64.0
Match-00003,05/08/2025,Quantum Five,Storm Gaming,2.0,7.0,Sin datos,Cyberleague temporada Primera,42.0
Match-00055,07/05/2026,Titan Esports,Omega Team,16.0,15.0,Ascent,Copa nacional,55.0
Match-00017,23/05/2026,Dark Wolves,Thunder Esports,12.0,4.0,Mirage,Cyberleague Primera,69.0
Match-00153,20-oct-2026,Nova Squad,Eclipse,5.0,3.0,Ancient,Cyberleague Segunda,75.0
Match-00169,2026-10-06,Eclipse,Iron baers,16.0,13.0,Vértigo,Masters,55.0
Match-00236,2025-02-14,Blaze Team,Phoenix Rising,11.0,999.0,Ascent,Masters series,42.0
Match-00335,16/4/25,Raptors GG,Byte Force,10.0,14.0,Ancient,Masters,
Match-00183,"marzo 21, 2025",Vortex Club,Iron Bears,1.0,12.0,Dust Segunda,Master series,37.0
Match-00354,"octubre 15, 2025",Quantum Five,Stomr Gaming,8.0,15.0,Over pass,Copa nacional,25.0
Match-00250,26/7/25,Shado Legion,Iron Bears,8.0,2.0,Ascent,Gran final,72.0
Match-00238,2025-08-04,Raptors GG,Nova Squad,10.0,15.0,Vértigo,Cyberleague temporada Primera,52.0
Match-00019,06-06-2025,Iron Bears,Quantum Five,2.0,9.0,Ancient,Copa nacional,21.0
Match-00318,5/3/26,Omega Team,Arctic Foxes,9.0,10.0,Vértigo,Open Qualifier,19.0
Match-00365,11 de noviembre de 2025,Quantum Five,Eclipse,7.0,11.0,Ascent,Copa nacional,62.0
Match-00112,12-09-2026,Cyber Dragons,Iron Bears,0.0,16.0,Overpas,Copa nacional,44.0
Match-00202,25/07/2025,Nova Squad,Thunder Esports,6.0,2.0,Dust2,Copa nacional,59.0
Match-00292,15/12/2025,Cyber Dragons,Thunder Esports,16.0,16.0,Mirage,Masters series,27.0
Match-00002,10-dic-2025,Shadow Legion,Eclipse,5.0,0.0,Overpass,Grand final,64.0
Match-00110,11 de abril de 2026,Thunder Esports,Neon Strikers,11.0,14.0,Mirage,Masters series,66.0
Match-00136,23 de febrero de 2026,Storm Gaming,Vortex Club,4.0,16.0,Dust_2,Copa nacional,74.0
Match-00151,27/6/25,Blaze Team,Phoenix Rising,15.0,2.0,Mirage,Cyberleague temporada Segunda,71.0
Match-00248,27/06/2025,Cyber Dragons,Raptors GG,0.0,1.0,Haven,Grand finals,73.0
Match-00154,2026-05-07,Iron Bears,Stomr Gaming,9.0,5.0,Ascent,Master series,0.0
Match-00149,2025-04-23,Iron Bears,Crystal Gaming,1.0,0.0,Miraje,Open,27.0
Match-00061,05/11/2025,Cyber Dragons,Eclipse,11.0,0.0,Ancient,Copa nacional,55.0
Match-00277,10/3/25,Omega Team,Iron Bears,15.0,11.0,Bind,Cyberleague Season Primera,48.0
Match-00385,2025-01-22,Eclipse,Eclipse,13.0,9.0,Ancient,Cyber league Segunda,51.0
Match-00174,24 de enero de 2025,Quantum Five,Vortex Club,5.0,4.0,Overpass,Copa nacional,62.0
Match-00058,2025-02-24,Titan Esports,Blaze Team,0.0,14.0,Bind,Grand finals,
Match-00192,23-oct-2025,Zenith,Eclipse,5.0,15.0,Nuke,Cyberleague Segunda,59.0
Match-00088,27/4/26,Vortex Club,Tita Esports,11.0,4.0,Nuke,Cyberleague Segunda,69.0
Match-00195,"agosto 17, 2025",Thunder Esports,Shadow Legion,2.0,7.0,Mirage,Cyberleague Primera,66.0
Match-00254,28/12/2025,Byte Force,Iron Bears,1.0,12.0,Nuke,Copa nacional,0.0
Match-00217,21/12/2025,Arctic Foxes,Zenith,0.0,3.0,Mirage,Masters,68.0
Match-00027,25/03/2025,Zenith,Cyberd Dragons,15.0,10.0,Ascent,Grand finals,60.0
Match-00181,25-may-2025,Nova Squad,Vortex Club,12.0,12.0,Miraje,Cyberleague Primera,41.0
Match-00342,2025-12-13,Byte Force,Iron Bears,12.0,1.0,Bind,Copa nacional,20.0
Match-00069,3-abr-2025,Omega Team,Dark Wolves,11.0,7.0,Nuke,Master series,22.0
Match-00188,2025-11-05,Quantum Five,Darkwolves,5.0,1.0,Nuke,Grand finals,
Match-00039,17/6/26,Blaze Team,Quantum Five,3.0,13.0,Nuke,Grand finals,62.0
Match-00090,12/9/26,Eclipse,Crystal Gaming,5.0,14.0,Ancient,Cyberleague Primera,27.0
Match-00116,27-02-2025,Voretx Club,Thunder Esports,2.0,6.0,Dust2,Grand final,53.0
Match-00269,"julio 10, 2026",Cyber Dragons,Noav Squad,1.0,2.0,Nuke,Qualifier,22.0
Match-00087,2025-08-11,Noav Squad,Byte Force,6.0,8.0,Ancient,Cyberleague Segunda,31.0
Match-00230,"julio 24, 2026",Quantum Five,Ratpors GG,8.0,8.0,Inferno,Cyberleague temporada Segunda,68.0
Match-00311,15/09/2026,Eclipse,Voretx Club,999.0,16.0,Sin datos,Grand finals,68.0
Match-00022,16/2/25,Quantum Five,Arctic Foxes,10.0,8.0,Overpass,Grand finals,60.0
Match-00383,23/03/2025,Quantumfive,Quantum Five,10.0,6.0,Dust2,Open Qualifier,30.0
Match-00271,28-jun-2025,Zenith,Iron Bears,6.0,5.0,Vértigo,Sin datos,25.0
Match-00126,12-jun-2026,Eclipse,Omega Team,0.0,9.0,Ascent,Cyberleague temporada Segunda,30.0
Match-00177,13-ago-2025,Crystal gamnig,Eclipse,16.0,1.0,Dust_2,Copa nacional,26.0
Match-00274,04-01-2025,Zenith,Cyber Dragons,4.0,14.0,Haven,Masters,51.0
Match-00384,18-may-2025,Byte Force,Byte Force,6.0,6.0,Ancient,Copa nac.,30.0
Match-00004,"diciembre 1, 2025",Byet Force,Ratpors GG,12.0,14.0,Overpass,Cyber league Primera,66.0
Match-00098,2025-09-02,Neon Strikers,Cyber Dragons,12.0,16.0,Inferno,Masters series,
Match-00316,26-11-2025,Quantum Five,Neon Strikers,14.0,16.0,Ascent,Grand final,
Match-00008,3/5/26,Phoenix Rising,Storm Gaming,3.0,9.0,Miraje,Grand finals,70.0
Match-00208,12-08-2025,Arctic Foxes,Shadow Legion,1.0,4.0,Overpas,Cyberleague Segunda,42.0
Match-00064,"agosto 15, 2025",Quantum Five,Byte Force,9.0,4.0,Nuke,Copa nacional,56.0
Match-00273,"enero 23, 2025",Cyber Dragons,Phoenix Rising,0.0,6.0,Nuke,Cyberleague Primera,50.0
Match-00264,9 de noviembre de 2026,Byte Force,Iron Bears,0.0,10.0,Haven,Masters series,22.0
Match-00255,7-dic-2025,Zenith,Crystal Gaming,8.0,9.0,Inferno,Cyberleague Segunda,67.0
Match-00246,8-feb-2026,Blaze Team,Crystal Gaming,3.0,10.0,Overpass,Master series,41.0
Match-00070,21/9/25,Dark Wolves,Omega Team,8.0,5.0,Inferno,Gran final,44.0
Match-00261,09/08/2025,Dark Wolves,Vortex Club,14.0,13.0,Miraje,Cyberleague temporada Primera,27.0
Match-00347,"abril 7, 2025",Thunder Esports,Raptors GG,3.0,10.0,Bind,Cyberleague Primera,7.0
Match-00218,"febrero 12, 2026",Eclipse,Vortex Club,0.0,8.0,Haven,Grand finals,30.0
Match-00006,23/08/2025,Byte Force,Omega Team,13.0,5.0,Vértigo,Open,58.0
Match-00253,2025-02-14,Blaze Team,Nova Squad,5.0,12.0,Overpas,Cyber league Segunda,44.0
Match-00284,5-ago-2025,Zenith,Thnuder Esports,16.0,2.0,Ascent,Cyberleague temporada Primera,25.0
Match-00374,16-oct-2025,Crystal Gaming,Neon Strikers,15.0,9.0,Overpass,Grand finals,999.0
Match-00044,27-mar-2026,Neon srtikers,Dark Wolves,3.0,8.0,Miraje,Masters series,59.0
Match-00030,11-sep-2026,Arctic Foxes,Iron Bears,4.0,10.0,Ancient,Open Qualifier,51.0
Match-00295,5-oct-2025,Nova Squad,Eclipse,16.0,14.0,Haven,Grand final,68.0
Match-00085,13/8/26,Thnuder Esports,Quantumfive,15.0,7.0,Overpass,Gran final,68.0
Match-00048,23-10-2025,Thunder Esports,Titan Esports,11.0,4.0,Nuke,Cyberleague Segunda,65.0
Match-00123,11/1/26,Raptors GG,Dark Wolves,4.0,10.0,Over pass,Qualifier,52.0
Match-00040,17 de marzo de 2026,Thunder Esports,Dark Wolves,15.0,5.0,Dust Segunda,Grand finals,24.0
Match-00041,"agosto 15, 2026",Raptors GG,Eclipse,14.0,2.0,Nuke,Cyberleague Primera,74.0
Match-00325,28-may-2025,Nova Squad,Storm Gaming,16.0,15.0,Dust2,Grand finals,33.0
Match-00047,15 de mayo de 2025,Storm Gaming,Arctic Foxes,4.0,13.0,Bind,Copa nacional,58.0
Match-00161,"noviembre 11, 2025",Omega Team,Eclipse,14.0,999.0,Mirage,Grand finals,
Match-00209,2/2/25,Shadow Legion,Cyber Dragons,4.0,14.0,Mirage,Cyberleague Segunda,36.0
Match-00370,24-11-2026,Iron Bears,Neon Strikers,2.0,10.0,Mirage,Open,75.0
Match-00045,"noviembre 19, 2025",Neon Strikers,Zenith,14.0,14.0,Dust_2,Grand finals,62.0
Match-00326,"agosto 6, 2025",Crystal Gaming,Omega Team,11.0,16.0,Haeven,Qualifier,64.0
Match-00157,9 de mayo de 2026,Titan Esports,Omega Team,10.0,14.0,Nuke,Cyber league Segunda,62.0
Match-00118,11/6/26,Shadow Legion,Blaze Team,10.0,11.0,Vértigo,Masters,46.0
Match-00368,26/10/26,Arctic Foxes,Titan Esports,1.0,4.0,Miraje,Open Qualifier,51.0
Match-00267,13-08-2026,Omega Team,Thnuder Esports,8.0,13.0,Nuke,Master series,25.0
Match-00220,23 de diciembre de 2025,Nova Squad,Arctic Foxes,3.0,11.0,Over pass,Gran final,72.0
Match-00142,13 de diciembre de 2026,Zenith,Omega Team,5.0,12.0,Inferno,Open Qualifier,55.0
Match-00147,16/5/25,Byte Force,Zenith,3.0,8.0,Ancient,Cyberleague Primera,41.0
Match-00258,13-10-2025,Dark Wolves,Phoenix Rising,12.0,11.0,Overpass,Qualifier,28.0
Match-00240,26 de junio de 2025,Crystal Gaming,Iron baers,9.0,16.0,Bind,Cyberleague Segunda,71.0
Match-00182,4/8/25,Titan Esports,Eclipse,13.0,6.0,Mirage,Grand finals,59.0
Match-00225,2026-02-04,Quantum Five,Storm Gaming,0.0,16.0,Ancient,Open Qualifier,33.0
Match-00094,4-nov-2026,Dark Wolves,Storm Gaming,10.0,8.0,Overpass,Master series,43.0
Match-00235,16/05/2026,Shadow Legion,Thunder Esports,12.0,11.0,Dust2,Masters series,69.0
Match-00362,23-mar-2025,Eclipse,Shadow Legion,6.0,15.0,Mirage,Copa nacional,
Match-00215,2025-07-21,Blaze Team,Raptors GG,13.0,5.0,Inferno,Cyberleague Primera,55.0
Match-00312,23/4/26,Byte Force,Quantum Five,2.0,7.0,Dust2,Gran final,32.0
Match-00348,10-jul-2026,Omega Team,Dark Wolves,15.0,3.0,Inferno,Cyberleague Segunda,65.0
Match-00128,"enero 11, 2025",Neon Strikers,Nova Squad,6.0,6.0,Haven,Masters series,54.0
Match-00363,20/11/2025,Titan Esports,Arctic Foxes,5.0,2.0,Bind,Masters series,38.0
Match-00190,06/07/2025,Byte Force,Cyber Dragons,5.0,14.0,Overpas,Cyberleague temporada Segunda,0.0
Match-00328,"abril 19, 2025",Arctic Foxes,Iron Bears,14.0,16.0,Ancient,Copa nacional,59.0
Match-00372,10/1/25,Nova Squad,Eclipse,6.0,12.0,Vértigo,Grand finals,47.0
Match-00028,05/02/2026,Shadow Legion,Quantumfive,13.0,13.0,Mirage,Masters series,45.0
Match-00137,25-jul-2025,Shadow Legion,Storm Gaming,8.0,13.0,Nuke,Cyberleague temporada Primera,34.0
Match-00377,10/08/2025,Blaze Team,Cyber Dragons,6.0,6.0,Haven,Grand finals,71.0
Match-00291,"septiembre 13, 2026",Zenith,Byte Force,16.0,12.0,Ascnet,Gran final,75.0
Match-00194,2-nov-2025,Iron Bears,Crystal gamnig,11.0,9.0,Mirage,Cyberleague Segunda,33.0
Match-00074,06-08-2025,Titan Esports,Iron Bears,13.0,4.0,Vértigo,Masters series,70.0
Match-00065,24-11-2025,Eclipse,Vortex Club,15.0,14.0,Ascent,Cyberleague Segunda,48.0
Match-00337,24-ago-2025,Neon Strikers,Shadow Legion,12.0,6.0,Ancient,Masters series,28.0
Match-00080,4/3/25,Neon Strikers,Vortex Club,16.0,12.0,Haven,Grand finals,70.0
Match-00366,28-feb-2026,Ratpors GG,Cyber Dragons,8.0,7.0,Dust_2,Open Qualifier,0.0
Match-00263,"agosto 22, 2025",Shadow Legion,Zenith,10.0,0.0,Inferno,Cyberleague Segunda,38.0
Match-00352,02/09/2025,Nova Squad,Omega Team,7.0,12.0,Nuke,Cyberleague Segunda,53.0
Match-00005,2025-08-03,Iron baers,Quantum Five,9.0,0.0,Nuke,Cyberleague Segunda,
Match-00133,15-jun-2026,Cyber Dragons,Zenith,4.0,6.0,Overpass,Open Qualifier,61.0
Match-00066,21-12-2025,Cyber Dragons,Blaze Team,2.0,0.0,Nuke,Copa nacional,0.0
Match-00304,2026-01-06,Titan Esports,Quantumfive,2.0,9.0,Ancient,Copa nacional,25.0
